Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Features
"will.i.am, Britney Spears",Scream & Shout,42,3.0,24.0,2013-05-24,"November 20, 2012",Rap,nan
Olly Murs,Troublemaker,43,25.0,17.0,2013-05-24,"October 12, 2012","Rock,UK,Rap,Pop",Flo Rida
Anna Kendrick,Cups,44,44.0,20.0,2013-05-24,"March 26, 2013",Pop,nan
Lil Wayne,Rich As fuck,45,45.0,8.0,2013-05-24,"April 9, 2013",Rap,2 Chainz
Kenny Chesney,Pirate Flag,46,46.0,14.0,2013-05-24,"February 4, 2013","Country,Rock",nan
fun.,Carry On,47,20.0,19.0,2013-05-24,"October 23, 2012","Adult Alternative,Adult Contemporary,Folk Rock,Indie Pop,Indie Rock,Rock",nan
Lady Antebellum,Downtown,48,29.0,14.0,2013-05-24,"January 22, 2013","Country,Rock",nan
Calvin Harris,Sweet Nothing,49,10.0,27.0,2013-05-24,"October 12, 2012","UK,Pop,Electronic",Florence Welch
Jason Derulo,The Other Side,50,50.0,4.0,2013-05-24,"April 3, 2013","Dance-Pop,Dance,Pop,R&;B",nan
Luke Bryan,Crash My Party,51,18.0,5.0,2013-05-24,"April 7, 2013",Country,nan
Rocko,U.O.E.N.O.,52,52.0,5.0,2013-05-24,"March 5, 2013","Producer,Rap","Future, Rick Ross"
Rihanna,Pour It Up,53,19.0,19.0,2013-05-24,"January 8, 2012","Hip-Hop,Rap,Pop,R&;B",nan
Robin Thicke,Blurred Lines,54,54.0,4.0,2013-05-24,"March 26, 2013","R&;B,Pop",T.I. + Pharrell
Ciara,Body Party,55,35.0,3.0,2013-05-24,"March 8, 2013",R&;B,nan
George Strait,Give It All We Got Tonight,56,56.0,19.0,2013-05-24,"October 29, 2012","Country,Rock",nan
Hunter Hayes,I Want Crazy,57,43.0,5.0,2013-05-24,"April 22, 2013","Country,Rock",nan
Kendrick Lamar,"Bitch, Don't Kill My Vibe",58,53.0,12.0,2013-05-24,"October 22, 2012","Conscious Hip-Hop,West Coast,Producer,Rap",nan
Lana Del Rey,Young And Beautiful,59,59.0,3.0,2013-05-24,"April 22, 2013","Baroque Pop,Alternative Pop,Alternative,Soundtrack,Pop",nan
Phillip Phillips,"Gone, Gone, Gone",60,59.0,10.0,2013-05-24,"February 11, 2013","Folk Rock,Pop-Rock,Rock",nan
DJ Khaled,No New Friends,61,55.0,3.0,2013-05-24,"April 19, 2013","Canada,Trap,Cloud Rap,Rap","Drake, Rick Ross, Lil Wayne"
The Band Perry,DONE.,62,46.0,9.0,2013-05-24,"March 11, 2013","Country,Rock",nan
Jason Aldean,1994,63,52.0,9.0,2013-05-24,"October 16, 2012","Rock,Country,Rap",nan
Imagine Dragons,Demons,64,64.0,8.0,2013-05-24,"February 14, 2012","Adult Alternative,Adult Contemporary,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",nan
Eric Church,Like Jesus Does,65,59.0,12.0,2013-05-24,"July 22, 2011","Country,Rock",nan
Blake Shelton,Sure Be Cool If You Did,66,24.0,18.0,2013-05-24,"January 8, 2013","Country,Rock",nan
Calvin Harris,I Need Your Love,67,67.0,4.0,2013-05-24,"October 5, 2012","Dance,Electro House,Dance-Pop,Synth-Pop,UK,Pop,Electronic",Ellie Goulding
Brad Paisley,Beat This Summer,69,63.0,9.0,2013-05-24,"March 4, 2013","Country,Rock",nan
Jake Owen,Anywhere With You,70,69.0,8.0,2013-05-24,"August 30, 2011","Country,R&;B,Rock",nan
Thompson Square,If I Didn't Have You,71,49.0,19.0,2013-05-24,"October 29, 2012","Country,Rock",nan
Ed Sheeran,Lego House,72,72.0,7.0,2013-05-24,"September 9, 2011","UK,Pop",nan
Tamar Braxton,Love And War,74,57.0,16.0,2013-05-24,"December 6, 2012","R&;B,Rap",nan
Rihanna,Loveeeeeee Song,75,55.0,15.0,2013-05-24,"November 19, 2012","R&;B,Pop",Future
Kip Moore,Hey Pretty Girl,76,76.0,8.0,2013-05-24,"January 28, 2013",Country,nan
"Macklemore, Ryan Lewis",Same Love,78,78.0,9.0,2013-05-24,"July 18, 2012","LGBTQ+,Rap",Mary Lambert
Little Mix,Wings,79,79.0,6.0,2013-05-24,"August 24, 2012","Dance-Pop,Girl Group,R&;B,Bubblegum Pop,UK,Pop",nan
"Lupe Fiasco, Guy Sebastian",Battle Scars,80,71.0,20.0,2013-05-24,"August 10, 2012","Pop,Rap",nan
Sean Kingston,Beat It,82,82.0,3.0,2013-05-24,"April 15, 2013","R&;B,Rap","Chris Brown, Wiz Khalifa"
Miguel,How Many Drinks?,84,84.0,4.0,2013-05-24,"April 10, 2013","Remix,Soul,Soul Pop,R&;B,Rap",nan
A$AP Rocky,Wild For The Night,85,82.0,9.0,2013-05-24,"January 11, 2013","East Coast,Electronic,Dubstep,Rap",Skrillex
Carrie Underwood,See You Again,86,86.0,2.0,2013-05-24,"May 1, 2012","Ballad,Country",nan
Brantley Gilbert,More Than Miles,87,79.0,11.0,2013-05-24,"March 16, 2010","Country,Rock",nan
Future,Karate Chop,88,82.0,10.0,2013-05-24,"April 22, 2014","Electro-Hop,Remix,Trap,Rap",Lil Wayne
Tyga,Molly,89,66.0,8.0,2013-05-24,"March 29, 2013","West Coast,Rap","Cedric Gervais, Wiz Khalifa, Mally Mall"
Fabolous,Ready,93,93.0,4.0,2013-05-24,"January 17, 2013","R&;B,Rap",Chris Brown
Nicki Minaj,High School,94,68.0,6.0,2013-05-24,"April 16, 2013","R&;B,Rap",Lil Wayne
Lee Brice,I Drive Your Truck,95,47.0,19.0,2013-05-24,"December 3, 2012","Country,Rock",nan
Zac Brown Band,Jump Right In,96,96.0,3.0,2013-05-24,"February 25, 2013","Country,Rock",nan
Capital Cities,Safe And Sound,97,97.0,2.0,2013-05-24,"January 6, 2011","Dance-Pop,Synth-Pop,Rock",nan
Young Jeezy,R.I.P.,99,58.0,14.0,2013-05-24,"December 12, 2012",Rap,2 Chainz
"Macklemore, Ryan Lewis",Can't Hold Us,1,1.0,3.0,2013-05-17,"August 16, 2011","Pop,Rap",Ray Dalton
P!nk,Just Give Me A Reason,2,1.0,12.0,2013-05-17,"February 26, 2013","Pop-Rock,Ballad,Adult Contemporary,Piano,Pop,Rock",Nate Ruess
Justin Timberlake,Mirrors,3,3.0,12.0,2013-05-17,"February 11, 2013","R&;B,Pop",nan
Rihanna,Stay,4,3.0,13.0,2013-05-17,"January 7, 2013","Soul Pop,Piano,Ballad,Adult Contemporary,R&;B,Pop",Mikky Ekko
Bruno Mars,When I Was Your Man,5,1.0,20.0,2013-05-17,"January 15, 2013","Easy Listening,Adult Contemporary,Piano,Ballad,Neo Soul,Soul Pop,R&;B,Pop",nan
"Macklemore, Ryan Lewis",Thrift Shop,6,1.0,31.0,2013-05-17,"August 27, 2012","Comedy,Indie Rap,Pop,Rap",Wanz
Icona Pop,I Love It,7,7.0,14.0,2013-05-17,"May 9, 2012","Screen,Soundtrack,Dance,Dance-Pop,Pop",Charli XCX
Imagine Dragons,Radioactive,8,7.0,36.0,2013-05-17,"February 14, 2012","Adult Alternative,Dubstep,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Electronic Rock,Pop,Rock",nan
Florida Georgia Line,Cruise,9,8.0,31.0,2013-05-17,"November 25, 2013","Producer,Dirty South,Pop,Pop Country,Hip-Hop,Remix,Rap,Country",Nelly
Pitbull,Feel This Moment,10,8.0,15.0,2013-05-17,"February 4, 2013","Pop,Rap",Christina Aguilera
Drake,Started From The Bottom,11,6.0,13.0,2013-05-17,"February 6, 2013","Producer,Trap,Canada,Rap",nan
Demi Lovato,Heart Attack,12,10.0,10.0,2013-05-17,"February 24, 2013",Pop,nan
Justin Timberlake,Suit & Tie,13,3.0,17.0,2013-05-17,"January 15, 2013","Rap,R&;B,Pop",JAY Z
Ariana Grande,The Way,15,10.0,6.0,2013-05-17,"March 25, 2013","R&;B,Rap,Pop",Mac Miller
Darius Rucker,Wagon Wheel,16,16.0,13.0,2013-05-17,"January 7, 2013","Country,Rock",nan
Daft Punk,Get Lucky,17,14.0,3.0,2013-05-17,"April 19, 2013","Dance,Electro-Pop,R&;B,Adult Alternative,Adult Contemporary,Funk,Disco,Pop",Pharrell Williams
Fall Out Boy,My Songs Know What You Did In The Dark,18,15.0,13.0,2013-05-17,"February 4, 2013","Adult Alternative,Electronic Rock,Electro-Pop,Pop,Alternative,Alternative Pop,Alternative Rock,Pop-Rock,Punk Rock,Pop-Punk,Rock",nan
J. Cole,Power Trip,20,20.0,12.0,2013-05-17,"February 14, 2013",Rap,Miguel
Taylor Swift,22,21,20.0,10.0,2013-05-17,"October 22, 2012","Pop Country,Pop-Rock,Dance-Pop,Country,Pop",nan
Lil Wayne,Love Me,22,9.0,16.0,2013-05-17,"January 18, 2013","Canada,Trap,Rap","Drake, Future"
The Lumineers,Ho Hey,24,3.0,48.0,2013-05-17,"April 3, 2012","Adult Alternative,Adult Contemporary,Pop,Pop-Rock,Indie Pop,Indie Rock,Folk Rock,Rock",nan
Miranda Lambert,Mama's Broken Heart,26,20.0,15.0,2013-05-17,"January 14, 2013","Country,Rock",nan
Florida Georgia Line,Get Your Shine On,27,27.0,15.0,2013-05-17,"December 4, 2012","Country,Rock",nan
Maroon 5,Daylight,28,7.0,22.0,2013-05-17,"November 27, 2012",Pop,nan
Baauer,Harlem Shake,30,1.0,12.0,2013-05-17,"May 12, 2012","Dance,Memes,Electronic,Pop",nan
Bruno Mars,Locked Out Of Heaven,31,1.0,31.0,2013-05-17,"October 1, 2012",Pop,nan
Krewella,Alive,32,32.0,12.0,2013-05-17,"February 5, 2013","Progressive House,Pop,Electronic",nan
PSY,Gentleman,33,5.0,4.0,2013-05-17,"April 12, 2013","Korean,Memes,K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),Pop",nan
Emeli Sande,Next To Me,34,34.0,11.0,2013-05-17,"February 10, 2012","UK,Adult Alternative,Adult Contemporary,Soul Pop,Soul,Pop-Rock,Pop,R&;B,Rock",nan
Taylor Swift,I Knew You Were Trouble.,35,2.0,29.0,2013-05-17,"October 9, 2012","Pop-Rock,Dubstep,Electro-Pop,Memes,Pop",nan
Olly Murs,Troublemaker,36,25.0,16.0,2013-05-17,"October 12, 2012","Rock,UK,Rap,Pop",Flo Rida
"will.i.am, Britney Spears",Scream & Shout,37,3.0,23.0,2013-05-17,"November 20, 2012",Rap,nan
Ace Hood,Bugatti,38,35.0,12.0,2013-05-17,"January 30, 2013","Gangsta Rap,Trap,Rap","Future, Rick Ross"
fun.,Carry On,39,20.0,18.0,2013-05-17,"October 23, 2012","Adult Alternative,Adult Contemporary,Folk Rock,Indie Pop,Indie Rock,Rock",nan
AWOLNATION,Sail,40,30.0,35.0,2013-05-17,"November 8, 2010","Electro-Pop,Pop-Rock,Alternative Rock,Industrial Rock,Indie Rock,Electronic Rock,Rock",nan
Calvin Harris,Sweet Nothing,41,10.0,26.0,2013-05-17,"October 12, 2012","UK,Pop,Electronic",Florence Welch
Chris Brown,Fine China,42,42.0,5.0,2013-05-17,"March 29, 2013","Funk,Disco,R&;B,Pop",nan
Rihanna,Pour It Up,44,19.0,18.0,2013-05-17,"January 8, 2012","Hip-Hop,Rap,Pop,R&;B",nan
Lady Antebellum,Downtown,45,29.0,13.0,2013-05-17,"January 22, 2013","Country,Rock",nan
Ciara,Body Party,46,35.0,2.0,2013-05-17,"March 8, 2013",R&;B,nan
Kenny Chesney,Pirate Flag,47,47.0,13.0,2013-05-17,"February 4, 2013","Country,Rock",nan
Swedish House Mafia,Don't You Worry Child,48,6.0,33.0,2013-05-17,"October 22, 2012","Progressive House,Dance-Pop,Dance,Pop,Electronic",John Martin
Lil Wayne,Rich As fuck,49,49.0,7.0,2013-05-17,"April 9, 2013",Rap,2 Chainz
"Mumford, Sons",I Will Wait,50,12.0,39.0,2013-05-17,"August 7, 2012","Adult Alternative,Adult Contemporary,Folk,Folk Rock,Pop-Rock,Pop,UK,Rock",nan
Luke Bryan,Crash My Party,51,18.0,4.0,2013-05-17,"April 7, 2013",Country,nan
Anna Kendrick,Cups,52,52.0,19.0,2013-05-17,"March 26, 2013",Pop,nan
Kendrick Lamar,"Bitch, Don't Kill My Vibe",53,53.0,11.0,2013-05-17,"October 22, 2012","Conscious Hip-Hop,West Coast,Producer,Rap",nan
Hunter Hayes,I Want Crazy,54,43.0,4.0,2013-05-17,"April 22, 2013","Country,Rock",nan
Rocko,U.O.E.N.O.,55,55.0,4.0,2013-05-17,"March 5, 2013","Producer,Rap","Future, Rick Ross"
DJ Khaled,No New Friends,56,55.0,2.0,2013-05-17,"April 19, 2013","Canada,Trap,Cloud Rap,Rap","Drake, Rick Ross, Lil Wayne"
Jason Aldean,1994,57,52.0,8.0,2013-05-17,"October 16, 2012","Rock,Country,Rap",nan
Zedd,Clarity,58,58.0,7.0,2013-05-17,"December 12, 2012","UK,Electronic,Pop",Foxes
George Strait,Give It All We Got Tonight,59,56.0,18.0,2013-05-17,"October 29, 2012","Country,Rock",nan
Avril Lavigne,Here's To Never Growing Up,60,52.0,4.0,2013-05-17,"April 9, 2013","Pop-Punk,Pop-Rock,Rock,Canada,Pop",nan
Blake Shelton,Sure Be Cool If You Did,61,24.0,17.0,2013-05-17,"January 8, 2013","Country,Rock",nan
Thompson Square,If I Didn't Have You,62,49.0,18.0,2013-05-17,"October 29, 2012","Country,Rock",nan
The Band Perry,DONE.,63,46.0,8.0,2013-05-17,"March 11, 2013","Country,Rock",nan
Phillip Phillips,"Gone, Gone, Gone",64,59.0,9.0,2013-05-17,"February 11, 2013","Folk Rock,Pop-Rock,Rock",nan
Jason Derulo,The Other Side,65,65.0,3.0,2013-05-17,"April 3, 2013","Dance-Pop,Dance,Pop,R&;B",nan
Eric Church,Like Jesus Does,66,59.0,11.0,2013-05-17,"July 22, 2011","Country,Rock",nan
Brad Paisley,Beat This Summer,68,63.0,8.0,2013-05-17,"March 4, 2013","Country,Rock",nan
Jake Owen,Anywhere With You,69,69.0,7.0,2013-05-17,"August 30, 2011","Country,R&;B,Rock",nan
Robin Thicke,Blurred Lines,70,70.0,3.0,2013-05-17,"March 26, 2013","R&;B,Pop",T.I. + Pharrell
Calvin Harris,I Need Your Love,71,71.0,3.0,2013-05-17,"October 5, 2012","Dance,Electro House,Dance-Pop,Synth-Pop,UK,Pop,Electronic",Ellie Goulding
Tamar Braxton,Love And War,72,57.0,15.0,2013-05-17,"December 6, 2012","R&;B,Rap",nan
Rihanna,Loveeeeeee Song,73,55.0,14.0,2013-05-17,"November 19, 2012","R&;B,Pop",Future
Ray J,I Hit It First,74,51.0,3.0,2013-05-17,"April 9, 2013","R&;B,Rap",Bobby Brackins
Ed Sheeran,Lego House,76,76.0,6.0,2013-05-17,"September 9, 2011","UK,Pop",nan
"Lupe Fiasco, Guy Sebastian",Battle Scars,77,71.0,19.0,2013-05-17,"August 10, 2012","Pop,Rap",nan
Kip Moore,Hey Pretty Girl,79,79.0,7.0,2013-05-17,"January 28, 2013",Country,nan
Lee Brice,I Drive Your Truck,81,47.0,18.0,2013-05-17,"December 3, 2012","Country,Rock",nan
"Macklemore, Ryan Lewis",Same Love,82,82.0,8.0,2013-05-17,"July 18, 2012","LGBTQ+,Rap",Mary Lambert
Future,Karate Chop,83,82.0,9.0,2013-05-17,"April 22, 2014","Electro-Hop,Remix,Trap,Rap",Lil Wayne
Brantley Gilbert,More Than Miles,84,79.0,10.0,2013-05-17,"March 16, 2010","Country,Rock",nan
A$AP Rocky,Wild For The Night,85,82.0,8.0,2013-05-17,"January 11, 2013","East Coast,Electronic,Dubstep,Rap",Skrillex
Sean Kingston,Beat It,86,86.0,2.0,2013-05-17,"April 15, 2013","R&;B,Rap","Chris Brown, Wiz Khalifa"
Tyga,Molly,87,66.0,7.0,2013-05-17,"March 29, 2013","West Coast,Rap","Cedric Gervais, Wiz Khalifa, Mally Mall"
Miguel,How Many Drinks?,88,88.0,3.0,2013-05-17,"April 10, 2013","Remix,Soul,Soul Pop,R&;B,Rap",nan
Nicki Minaj,High School,89,68.0,5.0,2013-05-17,"April 16, 2013","R&;B,Rap",Lil Wayne
Imagine Dragons,Demons,91,89.0,7.0,2013-05-17,"February 14, 2012","Adult Alternative,Adult Contemporary,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",nan
Young Jeezy,R.I.P.,92,58.0,13.0,2013-05-17,"December 12, 2012",Rap,2 Chainz
Fabolous,Ready,93,93.0,3.0,2013-05-17,"January 17, 2013","R&;B,Rap",Chris Brown
Little Mix,Wings,94,91.0,5.0,2013-05-17,"August 24, 2012","Dance-Pop,Girl Group,R&;B,Bubblegum Pop,UK,Pop",nan
Lana Del Rey,Young And Beautiful,95,82.0,2.0,2013-05-17,"April 22, 2013","Baroque Pop,Alternative Pop,Alternative,Soundtrack,Pop",nan
Zac Brown Band,Jump Right In,96,96.0,2.0,2013-05-17,"February 25, 2013","Country,Rock",nan
French Montana,Freaks,100,77.0,7.0,2013-05-17,"February 14, 2013",Rap,Nicki Minaj
P!nk,Just Give Me A Reason,1,1.0,1.0,2013-05-10,"February 26, 2013","Pop-Rock,Ballad,Adult Contemporary,Piano,Pop,Rock",Nate Ruess
"Macklemore, Ryan Lewis",Can't Hold Us,2,2.0,12.0,2013-05-10,"August 16, 2011","Pop,Rap",Ray Dalton
Rihanna,Stay,3,3.0,12.0,2013-05-10,"January 7, 2013","Soul Pop,Piano,Ballad,Adult Contemporary,R&;B,Pop",Mikky Ekko
"Macklemore, Ryan Lewis",Thrift Shop,4,1.0,30.0,2013-05-10,"August 27, 2012","Comedy,Indie Rap,Pop,Rap",Wanz
Justin Timberlake,Mirrors,5,5.0,11.0,2013-05-10,"February 11, 2013","R&;B,Pop",nan
Bruno Mars,When I Was Your Man,6,1.0,19.0,2013-05-10,"January 15, 2013","Easy Listening,Adult Contemporary,Piano,Ballad,Neo Soul,Soul Pop,R&;B,Pop",nan
Justin Timberlake,Suit & Tie,7,3.0,16.0,2013-05-10,"January 15, 2013","Rap,R&;B,Pop",JAY Z
Pitbull,Feel This Moment,8,8.0,14.0,2013-05-10,"February 4, 2013","Pop,Rap",Christina Aguilera
Icona Pop,I Love It,9,9.0,13.0,2013-05-10,"May 9, 2012","Screen,Soundtrack,Dance,Dance-Pop,Pop",Charli XCX
Imagine Dragons,Radioactive,10,7.0,35.0,2013-05-10,"February 14, 2012","Adult Alternative,Dubstep,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Electronic Rock,Pop,Rock",nan
Drake,Started From The Bottom,11,6.0,12.0,2013-05-10,"February 6, 2013","Producer,Trap,Canada,Rap",nan
Demi Lovato,Heart Attack,12,10.0,9.0,2013-05-10,"February 24, 2013",Pop,nan
Florida Georgia Line,Cruise,13,8.0,30.0,2013-05-10,"November 25, 2013","Producer,Dirty South,Pop,Pop Country,Hip-Hop,Remix,Rap,Country",Nelly
Daft Punk,Get Lucky,14,14.0,2.0,2013-05-10,"April 19, 2013","Dance,Electro-Pop,R&;B,Adult Alternative,Adult Contemporary,Funk,Disco,Pop",Pharrell Williams
Fall Out Boy,My Songs Know What You Did In The Dark,15,15.0,12.0,2013-05-10,"February 4, 2013","Adult Alternative,Electronic Rock,Electro-Pop,Pop,Alternative,Alternative Pop,Alternative Rock,Pop-Rock,Punk Rock,Pop-Punk,Rock",nan
Lil Wayne,Love Me,16,9.0,15.0,2013-05-10,"January 18, 2013","Canada,Trap,Rap","Drake, Future"
Darius Rucker,Wagon Wheel,18,18.0,12.0,2013-05-10,"January 7, 2013","Country,Rock",nan
Ariana Grande,The Way,19,10.0,5.0,2013-05-10,"March 25, 2013","R&;B,Rap,Pop",Mac Miller
Taylor Swift,22,20,20.0,9.0,2013-05-10,"October 22, 2012","Pop Country,Pop-Rock,Dance-Pop,Country,Pop",nan
J. Cole,Power Trip,21,21.0,11.0,2013-05-10,"February 14, 2013",Rap,Miguel
Baauer,Harlem Shake,22,1.0,11.0,2013-05-10,"May 12, 2012","Dance,Memes,Electronic,Pop",nan
Maroon 5,Daylight,24,7.0,21.0,2013-05-10,"November 27, 2012",Pop,nan
Olly Murs,Troublemaker,25,25.0,15.0,2013-05-10,"October 12, 2012","Rock,UK,Rap,Pop",Flo Rida
PSY,Gentleman,26,5.0,3.0,2013-05-10,"April 12, 2013","Korean,Memes,K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),Pop",nan
The Lumineers,Ho Hey,29,3.0,47.0,2013-05-10,"April 3, 2012","Adult Alternative,Adult Contemporary,Pop,Pop-Rock,Indie Pop,Indie Rock,Folk Rock,Rock",nan
fun.,Carry On,30,20.0,17.0,2013-05-10,"October 23, 2012","Adult Alternative,Adult Contemporary,Folk Rock,Indie Pop,Indie Rock,Rock",nan
Miranda Lambert,Mama's Broken Heart,31,20.0,14.0,2013-05-10,"January 14, 2013","Country,Rock",nan
Bruno Mars,Locked Out Of Heaven,32,1.0,30.0,2013-05-10,"October 1, 2012",Pop,nan
Florida Georgia Line,Get Your Shine On,33,33.0,14.0,2013-05-10,"December 4, 2012","Country,Rock",nan
Taylor Swift,I Knew You Were Trouble.,34,2.0,28.0,2013-05-10,"October 9, 2012","Pop-Rock,Dubstep,Electro-Pop,Memes,Pop",nan
Emeli Sande,Next To Me,36,36.0,10.0,2013-05-10,"February 10, 2012","UK,Adult Alternative,Adult Contemporary,Soul Pop,Soul,Pop-Rock,Pop,R&;B,Rock",nan
"will.i.am, Britney Spears",Scream & Shout,37,3.0,22.0,2013-05-10,"November 20, 2012",Rap,nan
Krewella,Alive,38,38.0,11.0,2013-05-10,"February 5, 2013","Progressive House,Pop,Electronic",nan
Calvin Harris,Sweet Nothing,40,10.0,25.0,2013-05-10,"October 12, 2012","UK,Pop,Electronic",Florence Welch
AWOLNATION,Sail,41,30.0,34.0,2013-05-10,"November 8, 2010","Electro-Pop,Pop-Rock,Alternative Rock,Industrial Rock,Indie Rock,Electronic Rock,Rock",nan
Rihanna,Pour It Up,42,19.0,17.0,2013-05-10,"January 8, 2012","Hip-Hop,Rap,Pop,R&;B",nan
Lady Antebellum,Downtown,43,29.0,12.0,2013-05-10,"January 22, 2013","Country,Rock",nan
Ace Hood,Bugatti,44,35.0,11.0,2013-05-10,"January 30, 2013","Gangsta Rap,Trap,Rap","Future, Rick Ross"
Swedish House Mafia,Don't You Worry Child,46,6.0,32.0,2013-05-10,"October 22, 2012","Progressive House,Dance-Pop,Dance,Pop,Electronic",John Martin
"Mumford, Sons",I Will Wait,47,12.0,38.0,2013-05-10,"August 7, 2012","Adult Alternative,Adult Contemporary,Folk,Folk Rock,Pop-Rock,Pop,UK,Rock",nan
Chris Brown,Fine China,48,48.0,4.0,2013-05-10,"March 29, 2013","Funk,Disco,R&;B,Pop",nan
Imagine Dragons,It's Time,49,15.0,47.0,2013-05-10,"March 12, 2011","Adult Alternative,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",nan
Thompson Square,If I Didn't Have You,50,49.0,17.0,2013-05-10,"October 29, 2012","Country,Rock",nan
Kenny Chesney,Pirate Flag,51,51.0,12.0,2013-05-10,"February 4, 2013","Country,Rock",nan
Lil Wayne,Rich As fuck,52,52.0,6.0,2013-05-10,"April 9, 2013",Rap,2 Chainz
Blake Shelton,Sure Be Cool If You Did,53,24.0,16.0,2013-05-10,"January 8, 2013","Country,Rock",nan
Jason Aldean,1994,54,52.0,7.0,2013-05-10,"October 16, 2012","Rock,Country,Rap",nan
Luke Bryan,Crash My Party,56,18.0,3.0,2013-05-10,"April 7, 2013",Country,nan
Kendrick Lamar,"Bitch, Don't Kill My Vibe",57,57.0,10.0,2013-05-10,"October 22, 2012","Conscious Hip-Hop,West Coast,Producer,Rap",nan
George Strait,Give It All We Got Tonight,58,56.0,17.0,2013-05-10,"October 29, 2012","Country,Rock",nan
The Band Perry,DONE.,59,46.0,7.0,2013-05-10,"March 11, 2013","Country,Rock",nan
Anna Kendrick,Cups,60,59.0,18.0,2013-05-10,"March 26, 2013",Pop,nan
Phillip Phillips,"Gone, Gone, Gone",62,59.0,8.0,2013-05-10,"February 11, 2013","Folk Rock,Pop-Rock,Rock",nan
Hunter Hayes,I Want Crazy,63,43.0,3.0,2013-05-10,"April 22, 2013","Country,Rock",nan
Zedd,Clarity,64,64.0,6.0,2013-05-10,"December 12, 2012","UK,Electronic,Pop",Foxes
Eric Church,Like Jesus Does,65,59.0,10.0,2013-05-10,"July 22, 2011","Country,Rock",nan
Avril Lavigne,Here's To Never Growing Up,66,52.0,3.0,2013-05-10,"April 9, 2013","Pop-Punk,Pop-Rock,Rock,Canada,Pop",nan
Brad Paisley,Beat This Summer,68,63.0,7.0,2013-05-10,"March 4, 2013","Country,Rock",nan
Rocko,U.O.E.N.O.,69,69.0,3.0,2013-05-10,"March 5, 2013","Producer,Rap","Future, Rick Ross"
Jake Owen,Anywhere With You,70,70.0,6.0,2013-05-10,"August 30, 2011","Country,R&;B,Rock",nan
Tamar Braxton,Love And War,71,57.0,14.0,2013-05-10,"December 6, 2012","R&;B,Rap",nan
"Lupe Fiasco, Guy Sebastian",Battle Scars,72,71.0,18.0,2013-05-10,"August 10, 2012","Pop,Rap",nan
Rihanna,Loveeeeeee Song,73,55.0,13.0,2013-05-10,"November 19, 2012","R&;B,Pop",Future
Lee Brice,I Drive Your Truck,74,47.0,17.0,2013-05-10,"December 3, 2012","Country,Rock",nan
Jason Derulo,The Other Side,75,75.0,2.0,2013-05-10,"April 3, 2013","Dance-Pop,Dance,Pop,R&;B",nan
Tyga,Molly,76,66.0,6.0,2013-05-10,"March 29, 2013","West Coast,Rap","Cedric Gervais, Wiz Khalifa, Mally Mall"
Calvin Harris,I Need Your Love,77,76.0,2.0,2013-05-10,"October 5, 2012","Dance,Electro House,Dance-Pop,Synth-Pop,UK,Pop,Electronic",Ellie Goulding
Ed Sheeran,Lego House,80,80.0,5.0,2013-05-10,"September 9, 2011","UK,Pop",nan
Kip Moore,Hey Pretty Girl,81,81.0,6.0,2013-05-10,"January 28, 2013",Country,nan
Chris Young,I Can Take It From There,83,63.0,12.0,2013-05-10,"October 15, 2012",Country,nan
Brantley Gilbert,More Than Miles,84,79.0,9.0,2013-05-10,"March 16, 2010","Country,Rock",nan
Nicki Minaj,High School,85,68.0,4.0,2013-05-10,"April 16, 2013","R&;B,Rap",Lil Wayne
Trinidad James,All Gold Everything,86,36.0,20.0,2013-05-10,"December 20, 2012","Trap,Rap",nan
Future,Karate Chop,87,82.0,8.0,2013-05-10,"April 22, 2014","Electro-Hop,Remix,Trap,Rap",Lil Wayne
Robin Thicke,Blurred Lines,89,89.0,2.0,2013-05-10,"March 26, 2013","R&;B,Pop",T.I. + Pharrell
Young Jeezy,R.I.P.,90,58.0,12.0,2013-05-10,"December 12, 2012",Rap,2 Chainz
A$AP Rocky,Wild For The Night,91,82.0,7.0,2013-05-10,"January 11, 2013","East Coast,Electronic,Dubstep,Rap",Skrillex
Miguel,How Many Drinks?,92,88.0,2.0,2013-05-10,"April 10, 2013","Remix,Soul,Soul Pop,R&;B,Rap",nan
Little Mix,Wings,93,91.0,4.0,2013-05-10,"August 24, 2012","Dance-Pop,Girl Group,R&;B,Bubblegum Pop,UK,Pop",nan
"Macklemore, Ryan Lewis",Same Love,94,89.0,7.0,2013-05-10,"July 18, 2012","LGBTQ+,Rap",Mary Lambert
Carrie Underwood,Two Black Cadillacs,95,41.0,20.0,2013-05-10,"May 1, 2012",Country,nan
Imagine Dragons,Demons,96,89.0,6.0,2013-05-10,"February 14, 2012","Adult Alternative,Adult Contemporary,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",nan
