,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
90,Golden,"Harry Styles",1116603,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
91,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1115224,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
92,"JUST LIKE YOU",NF,1079171,https://open.spotify.com/track/7tTRFVlFzk6yTnoMcParmi
93,"Travesuras - Remix","Nio Garcia",1075947,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
94,"death bed (coffee for your head)",Powfu,1065568,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
95,goosebumps,"Travis Scott",1061896,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
96,"EL MAKINON","KAROL G",1060919,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
97,Shallow,"Lady Gaga",1058512,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
98,"2 Much","Justin Bieber",1049000,https://open.spotify.com/track/0oaY19dUwZimIgzn3ZZLZO
99,"TE MUDASTE","Bad Bunny",1047560,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
100,"Lucid Dreams","Juice WRLD",1047387,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
101,"Deserve You","Justin Bieber",1046480,https://open.spotify.com/track/5NU40QTlXrDUJzDBdv79bg
102,Señorita,"Shawn Mendes",1042801,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
103,Memories,"Maroon 5",1037040,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
104,Believer,"Imagine Dragons",1034308,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
105,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1033157,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
106,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1029691,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
107,"Tapão Na Raba","Raí Saia Rodada",1028390,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
108,"bad guy","Billie Eilish",1028052,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
109,"Titans (feat. Sia & Labrinth)","Major Lazer",1025819,https://open.spotify.com/track/2nYPVp7BJuoaJ4rQmg5FM5
110,"Breaking Me",Topic,1013297,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
111,"The Box","Roddy Ricch",1009710,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
112,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1009555,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
113,"Dancing With The Devil","Demi Lovato",1007384,https://open.spotify.com/track/2kONpeXXK70YEs7c0UQbmq
114,PROBLEMA,"Daddy Yankee",1001552,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
115,HOLIDAY,"Lil Nas X",985403,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
116,"Loved By You (feat. Burna Boy)","Justin Bieber",980739,https://open.spotify.com/track/2tB9OFgAHjAds3cqquLlvp
117,willow,"Taylor Swift",970014,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
